L,R,F,M,C
69,0,79,123985,1.228445376
67,0,87,105119,1.445489778
23,0,53,144682,1.046215562
88,0,92,134823,1.118316089
46,0,48,150537,1.001144569
102,0,90,108184,1.390945611
63,0,56,104663,1.435274261
109,0,146,191328,0.783239829
30,0,35,167150,0.894261083
30,2,33,174046,0.85318887
104,0,142,177357,0.835532119
41,1,31,204438,0.723434195
89,0,53,102999,1.434114409
83,0,21,159605,0.925114251
22,0,16,195712,0.75375
113,0,85,155704,0.946174922
113,0,71,119961,1.225504039
68,0,130,167593,0.873661907
47,0,89,149557,0.978068228
105,0,83,103087,1.411593411
113,0,99,162215,0.896966187
110,0,40,198627,0.731685018
71,0,52,99524,1.458000784
100,0,65,119794,1.210876087
108,0,34,151642,0.951756044
92,0,83,149993,0.960765569
28,0,65,109089,1.318943707
15,0,18,146238,0.982511386
82,0,66,102689,1.39722054
96,0,52,105167,1.356986792
37,1,27,182561,0.780547269
113,0,193,209912,0.675609779
21,0,65,184730,0.764
23,1,14,144708,0.97367319
54,0,24,213058,0.658633893
42,0,89,177556,0.787337009
70,0,57,98104,1.42497258
53,0,101,140188,0.996902945
13,0,19,155552,0.897522308
94,0,95,140931,0.988949912
73,0,85,97855,1.423453171
113,0,108,169746,0.817685954
113,0,64,97250,1.426656247
109,0,113,204853,0.674381581
55,0,31,95766,1.438600025
101,0,79,129119,1.065611103
23,0,109,163010,0.843554751
60,0,19,201613,0.681331859
58,0,120,172352,0.790287551
96,0,45,116917,1.154155854
83,4,19,136374,0.988910129
46,6,22,135717,0.993493225
51,0,80,105118,1.277942503
88,0,82,106666,1.255920537
44,0,90,179472,0.744693267
44,5,17,143287,0.931991388
91,0,39,97116,1.374724556
71,0,102,102961,1.295748779
113,0,90,158149,0.843185667
111,0,125,176585,0.75433474
86,0,77,94142,1.414713624
113,0,79,157844,0.843179595
89,0,116,165365,0.802227557
38,0,58,91515,1.448642081
93,0,109,144321,0.914492693
94,0,180,182540,0.720028487
51,0,103,218087,0.602317149
111,0,107,155834,0.841613512
36,4,14,125796,1.040394289
50,0,149,155588,0.836742487
31,1,76,94185,1.380177417
86,0,55,94577,1.369523774
30,0,80,92022,1.407186108
111,0,40,139742,0.926317142
99,0,142,183472,0.702883928
12,0,14,126850,1.016463224
37,1,24,125340,1.026238631
35,0,13,126495,1.014545871
89,0,85,151736,0.843447435
110,0,68,117537,1.085817147
109,0,116,161730,0.786706177
24,0,123,89350,1.419099832
85,0,47,91018,1.389867279
44,3,14,123662,1.022610665
94,3,49,90602,1.394936204
107,0,86,157799,0.799002655
74,0,60,106278,1.182681834
105,0,110,166843,0.750906841
44,5,15,183480,0.681333333
109,0,67,119347,1.046676247
50,0,51,99034,1.259950118
47,2,74,96520,1.289827497
43,0,12,121632,1.023333333
53,0,59,85171,1.461263576
55,0,120,176951,0.701123814
67,0,60,88428,1.40060309
95,0,57,90553,1.366744227
27,1,43,195034,0.631640227
72,0,113,151060,0.81511929
108,0,42,165589,0.743348652
108,0,58,94554,1.299097235
103,1,16,184227,0.66544855
113,0,122,180074,0.68017726
107,0,72,91164,1.343311285
53,0,113,121394,1.008554047
105,0,77,157206,0.777235347
64,0,57,91658,1.332451177
27,0,16,115401,1.057235119
59,0,77,151637,0.803643702
111,0,88,117157,1.039534044
83,1,13,137604,0.884236795
107,0,124,113615,1.070194781
101,1,69,147549,0.823818121
74,0,66,86430,1.406350341
40,3,26,178921,0.679305671
56,0,59,94946,1.273062688
83,0,125,189177,0.637994577
61,0,97,171544,0.701652637
99,0,57,144505,0.832500467
39,0,64,262290,0.457967364
112,3,49,88903,1.350911443
79,0,58,84353,1.423312271
109,0,136,145540,0.82433441
40,0,68,148879,0.804845344
74,0,71,180226,0.664729007
90,0,116,130636,0.916310894
83,0,110,172640,0.693026819
69,0,105,145253,0.823284201
61,0,52,83356,1.433468257
107,0,106,167199,0.714441235
109,5,11,112128,1.065035317
47,0,59,92635,1.283990608
77,0,59,145433,0.817583423
99,0,83,94441,1.254728561
23,10,10,122320,0.966
67,0,116,136228,0.866121649
108,0,95,138873,0.849043083
31,0,79,151183,0.778897164
97,0,76,86061,1.367977249
81,0,100,91727,1.282347182
113,0,107,165304,0.710868219
99,9,25,109336,1.074683178
70,0,114,151625,0.774562836
49,0,57,84080,1.394920314
87,0,76,119514,0.98076627
17,3,11,111496,1.05
97,1,43,94144,1.240551283
37,0,20,148827,0.784519543
82,1,53,85000,1.373478
104,0,56,82981,1.403768453
30,0,84,140535,0.827823318
73,0,111,141864,0.819703519
34,0,109,126167,0.921339098
98,0,60,98083,1.175007596
44,0,61,161499,0.713012031
68,0,43,93447,1.231469603
89,0,149,157683,0.724336929
41,0,43,111807,1.020765158
47,2,56,114358,0.995827664
101,0,94,109142,1.040933738
104,0,84,139338,0.811427392
20,0,16,107047,1.051401627
99,0,128,131315,0.856878118
90,0,124,130776,0.860026534
38,0,111,130622,0.859196613
57,0,77,134838,0.832180765
97,0,42,77936,1.436042137
53,0,124,160524,0.695089955
32,0,19,96503,1.156085303
43,1,53,134627,0.828407972
34,0,61,83245,1.337276713
52,0,17,105377,1.056396083
31,0,48,119036,0.934725209
90,0,26,94249,1.178456641
98,1,43,79426,1.395587087
56,2,87,115134,0.962306964
46,0,114,124499,0.889901525
50,0,54,75651,1.462917873
52,0,68,163454,0.676618926
79,0,112,134757,0.82046172
66,0,73,163958,0.673120738
82,1,49,80641,1.368281891
19,0,40,127004,0.868515165
110,0,82,135413,0.81353969
63,0,154,129582,0.848141331
101,0,58,145294,0.755701956
68,0,52,97731,1.120337764
41,0,43,78765,1.388142957
62,0,105,138593,0.788873392
100,0,97,116461,0.93836632
46,3,17,121870,0.896000164
49,1,32,77106,1.416159832
46,0,37,119320,0.914270784
97,0,86,159612,0.682643911
24,0,62,139995,0.778110575
40,0,67,127081,0.856602875
94,0,84,129836,0.837625235
63,0,117,132853,0.816301476
58,0,122,129272,0.837572715
96,0,87,131029,0.82610529
63,0,73,75413,1.434756209
104,0,97,113939,0.949395993
49,0,93,150612,0.7180637
49,0,83,134621,0.801739699
43,0,105,145865,0.737595174
76,1,27,164336,0.654476682
100,1,24,110964,0.968107765
97,0,137,122439,0.874927107
19,0,57,90144,1.187537496
52,0,50,89115,1.201031476
34,0,45,139898,0.765013009
29,0,109,122024,0.877036239
52,0,46,80830,1.32374168
69,0,77,139876,0.763144213
91,0,60,154736,0.689844509
21,0,66,151383,0.705022823
85,0,77,144030,0.74088551
98,0,77,80208,1.325833583
41,0,28,77108,1.378992322
35,3,34,143761,0.739229694
82,0,62,141413,0.751386294
47,1,53,73717,1.440717609
30,0,37,72741,1.459011837
86,2,94,126174,0.839762709
82,0,48,74411,1.423607397
44,0,52,73647,1.430674841
35,0,52,135689,0.776371777
102,1,59,127314,0.827179729
74,0,72,149171,0.705943112
71,0,47,76753,1.37078264
113,0,107,169750,0.619739087
33,0,96,136246,0.771855467
23,0,132,151273,0.694012613
38,0,168,130985,0.800659159
28,0,49,125237,0.837061811
113,4,12,103960,1.00799115
89,0,36,109695,0.954319431
96,2,21,137610,0.760666667
63,0,60,137654,0.760252081
113,1,84,117382,0.8915401
97,0,59,97219,1.075326325
96,0,118,139566,0.746258043
68,0,49,78417,1.327684941
19,0,74,113789,0.91433425
28,0,64,139827,0.744006522
80,0,47,71121,1.461826465
90,0,46,71012,1.462023883
83,0,115,115562,0.8967864
42,0,28,72232,1.434513512
45,11,12,100421,1.029644795
93,0,65,93221,1.107523948
52,2,24,183418,0.562442563
68,0,50,135574,0.760115583
84,0,98,141053,0.728867305
104,0,46,73338,1.398998609
58,0,61,114031,0.899280547
29,2,28,82659,1.238878525
26,2,28,73852,1.386176542
17,0,17,104641,0.978310605
95,0,51,72274,1.416135816
74,0,85,104969,0.974864579
99,0,128,147767,0.69244581
18,0,23,157186,0.650619648
74,0,78,121231,0.84343724
63,0,67,135439,0.754458243
105,0,96,131739,0.775295546
36,0,118,143796,0.710068848
20,1,86,128754,0.792415925
25,0,36,124032,0.82250645
57,2,10,99312,1.025894957
91,0,34,70486,1.443316261
93,0,23,74910,1.357742091
87,0,76,138952,0.731532688
51,0,45,145724,0.696498655
105,0,111,145458,0.697522309
96,0,47,82382,1.230913428
99,0,84,75766,1.337146213
109,0,134,116627,0.867424696
97,0,46,130782,0.771173327
114,0,96,135009,0.746628299
39,3,16,107690,0.936013465
106,0,83,133367,0.755460796
104,0,93,109943,0.91579564
33,0,13,159016,0.632307692
17,0,36,113253,0.886428351
96,0,73,123568,0.810458452
26,0,98,76759,1.303309449
96,0,116,140571,0.710483528
108,0,61,81113,1.230116011
45,0,85,70965,1.401901923
83,0,48,68459,1.453157218
78,0,104,137698,0.721752894
95,0,57,84129,1.179321043
96,0,43,130985,0.757415506
37,0,101,117880,0.841051069
78,0,69,141164,0.702125684
78,0,71,70069,1.413737887
63,0,124,118049,0.837548052
77,0,86,89195,1.10819519
82,0,82,120536,0.818666539
37,0,122,137879,0.714470804
22,0,18,136876,0.718332944
111,0,39,70792,1.387449853
45,0,83,112709,0.870657357
83,0,81,99888,0.982403492
67,1,66,111545,0.8786453
110,1,46,71622,1.365195471
80,0,75,131146,0.745084105
111,2,69,126180,0.774192107
55,0,45,68136,1.432941764
82,0,36,66829,1.460493648
113,0,106,130691,0.746489276
46,0,64,66612,1.464381643
31,0,61,132797,0.734098361
19,0,67,123556,0.788739195
96,1,52,125190,0.778333174
36,0,21,138363,0.704172358
30,0,100,116315,0.8364076
73,0,119,100147,0.971327249
110,0,79,74503,1.305487564
55,0,101,118160,0.822947613
104,0,116,129478,0.750052132
36,2,42,74368,1.303695272
109,0,82,126149,0.767930622
103,0,96,134194,0.72174598
68,0,79,124218,0.779597965
97,0,133,143216,0.675632052
62,0,73,134897,0.717086814
97,0,58,122349,0.790434004
67,4,19,130168,0.742307172
14,0,62,76356,1.265360941
77,0,46,67761,1.425841856
34,0,38,66550,1.450518407
44,0,65,112320,0.858959758
15,0,15,99645,0.968166892
46,0,93,127824,0.754275019
66,0,13,147883,0.651163082
77,0,60,118514,0.811934708
42,0,93,117159,0.82114127
28,0,83,134851,0.712543548
21,0,44,108388,0.886273019
104,0,62,112125,0.855358305
41,0,89,78410,1.221743017
110,0,78,121245,0.789605839
84,0,39,70142,1.3639718
55,0,101,102834,0.929938153
51,0,44,65769,1.452790676
55,1,31,69453,1.375394871
57,0,75,122158,0.781846052
82,0,93,106705,0.894763601
48,0,54,71496,1.33526505
103,0,73,76834,1.242032954
109,0,70,98334,0.969874916
73,0,36,102876,0.926531747
75,0,45,67936,1.401278409
66,0,97,66431,1.432786199
54,0,107,132823,0.715139321
73,0,123,111589,0.850722921
32,0,38,67361,1.408719882
84,0,98,129338,0.733567861
80,0,33,65345,1.451830132
65,0,39,68043,1.393603751
42,0,72,73670,1.286411022
42,0,83,126476,0.749031121
110,0,66,121756,0.777650711
73,1,46,120983,0.78231049
114,0,65,102504,0.923260068
83,0,99,123899,0.763360156
61,0,54,64453,1.463962112
85,0,65,107397,0.878302187
95,8,27,100143,0.941445133
62,0,36,72186,1.302530408
31,0,61,71752,1.306106868
89,1,49,65717,1.425973949
70,0,46,71260,1.314534381
74,0,103,125149,0.746901054
82,2,52,76072,1.228696235
18,0,36,68799,1.35804096
57,0,37,66530,1.402335037
102,0,100,64900,1.4373
79,0,51,87589,1.06409081
88,0,69,125139,0.742781227
21,0,82,109233,0.850807631
17,0,13,95577,0.971737343
37,0,65,74458,1.246913025
23,0,45,74389,1.247410235
86,0,118,137477,0.67473221
71,0,75,127816,0.725720724
34,0,56,117444,0.789488352
85,0,73,128233,0.720501275
42,0,66,82682,1.116894004
33,0,21,139888,0.660121097
69,0,78,114244,0.807724519
70,0,90,122350,0.753979567
114,0,80,120362,0.766244247
25,2,20,121103,0.761441087
112,1,80,117968,0.781219907
111,1,95,104659,0.87833354
90,0,99,117708,0.780552044
85,0,90,128188,0.716619964
82,0,33,63453,1.447113927
107,0,73,110537,0.830436144
95,0,127,124500,0.737284819
33,5,83,114627,0.800316069
27,0,27,90731,1.010241814
48,0,97,149015,0.614937825
95,0,77,104572,0.875997495
52,2,19,86805,1.053728357
87,1,13,125853,0.72670131
110,0,139,129859,0.703798197
106,0,86,113677,0.803908618
107,0,82,123788,0.737626911
95,1,41,91797,0.9943289
53,0,72,120888,0.755011912
109,0,82,116502,0.782969391
24,0,83,66764,1.36549308
100,0,92,103985,0.875138818
94,0,49,98732,0.920499534
114,0,74,126274,0.719323851
46,0,78,106195,0.854748717
79,0,49,105720,0.858548997
55,0,44,69154,1.311839518
86,0,26,103395,0.875781421
114,0,85,124022,0.729566125
41,0,49,62116,1.454720362
104,0,69,105755,0.854199991
16,0,53,114734,0.787266634
66,2,11,134552,0.670909091
97,0,55,117957,0.76517731
112,0,39,63230,1.427421952
65,1,18,124386,0.725114241
60,0,63,137264,0.656078433
51,6,23,169931,0.529890073
33,0,55,103869,0.866817337
24,0,36,112436,0.799957309
97,0,43,69158,1.299686515
49,0,59,78595,1.142706025
24,0,69,98267,0.913754872
31,0,77,149556,0.600361671
67,0,75,113205,0.793122565
103,0,89,98446,0.911670561
35,0,51,71594,1.251371344
82,2,15,84976,1.053199256
96,0,51,121900,0.733716489
107,0,63,84110,1.062971704
105,0,67,114895,0.77813186
107,1,35,102698,0.869739722
56,0,31,112940,0.789749247
28,0,63,131617,0.677294726
83,0,95,112565,0.791891174
100,0,97,111809,0.795848724
87,0,67,124788,0.712584784
100,0,101,119673,0.742826118
49,0,60,131743,0.673196678
39,1,12,121632,0.728333333
44,0,48,63061,1.404469958
35,0,52,62006,1.427972616
55,0,11,80261,1.09967805
98,0,92,108930,0.810163224
97,0,67,116848,0.754195707
89,0,47,68720,1.280616269
93,1,109,144111,0.61047623
96,0,82,135759,0.646682872
95,0,68,107075,0.819026757
25,0,79,113061,0.775295725
23,0,74,119277,0.734588563
95,3,31,59830,1.463755474
22,0,34,87326,1.001857522
87,0,74,126760,0.690051909
20,0,7,85624,1.021428571
61,3,36,118329,0.739067177
20,0,43,71368,1.224596738
51,1,106,128750,0.678582369
67,0,89,106167,0.82264602
48,3,62,89752,0.972563954
53,0,36,63184,1.380619144
23,0,51,118422,0.73627451
98,0,69,119146,0.731558088
112,0,84,90564,0.962312287
101,0,68,109665,0.794431222
85,0,20,113068,0.769414069
39,2,27,106399,0.816711529
78,0,64,114718,0.757229554
109,0,113,147384,0.589203374
78,0,40,60149,1.443029477
99,0,80,138420,0.624723523
68,1,53,113194,0.76250826
55,0,109,123276,0.700098478
45,0,70,112890,0.764457525
53,0,35,62808,1.37325484
27,0,34,65969,1.307116221
63,0,88,110192,0.782405619
54,0,101,104916,0.821220119
87,0,44,123585,0.697107982
83,0,57,124821,0.690196361
44,0,43,70258,1.225645051
40,0,57,101773,0.846069291
78,0,82,121881,0.705870234
55,0,69,94964,0.903869993
50,1,63,102801,0.833366699
23,7,12,84488,1.013213001
42,0,69,99590,0.859349031
81,0,88,92775,0.922312153
25,0,59,133334,0.641461668
97,0,40,133403,0.640861525
64,2,13,113580,0.752468392
108,0,68,119701,0.712072581
40,0,69,119959,0.710441151
22,0,38,63749,1.335886053
98,0,97,95578,0.890442047
109,1,13,96745,0.879156546
40,0,84,124877,0.680674344
73,2,33,60566,1.400179804
79,0,61,129994,0.652295875
82,0,87,114443,0.740124516
66,0,17,105518,0.80243475
99,0,62,104351,0.810345085
77,0,79,102926,0.820983134
73,2,58,94188,0.896582367
76,1,26,126699,0.666378424
31,0,82,120396,0.700985
90,0,94,110837,0.761320588
22,0,43,88958,0.947841903
108,0,49,82626,1.019422095
80,0,32,87009,0.967861715
36,0,82,119037,0.706153885
44,0,62,101808,0.824876139
22,0,67,95683,0.877645872
57,1,81,103927,0.807743897
106,0,86,105952,0.791347497
85,3,6,73392,1.141666667
42,2,9,91224,0.917777778
55,0,63,102466,0.81701218
114,2,38,124410,0.672776465
45,0,40,63801,1.311356405
102,0,73,120191,0.695825062
86,0,71,107032,0.78021629
54,0,74,86299,0.967311788
23,3,45,83894,0.995006913
71,0,127,131400,0.635267428
78,0,86,130146,0.641211101
55,0,58,114424,0.728744669
34,0,69,101139,0.82410712
94,1,38,78846,1.056982345
67,0,78,115093,0.723989122
100,2,16,96627,0.862176721
85,5,37,58302,1.428155295
81,0,76,116724,0.713011977
63,0,44,67601,1.230681203
110,0,99,87395,0.951464844
26,0,51,61100,1.357835843
67,0,66,114482,0.722954875
94,0,77,94084,0.879383317
82,0,106,104750,0.78942673
22,0,94,130742,0.632198528
34,0,89,109773,0.752621956
22,1,11,101908,0.810053381
75,0,19,114608,0.719314533
35,0,57,87522,0.941829369
36,0,65,110131,0.747842479
22,2,25,58213,1.413954787
102,0,51,57992,1.418412885
25,0,54,77707,1.057823619
67,1,13,118818,0.691331701
24,0,72,65267,1.25802427
67,0,93,118300,0.693748774
47,0,31,60318,1.35912265
89,0,78,99566,0.822873672
71,0,96,123933,0.661020551
68,0,58,99952,0.81945874
22,0,85,115207,0.710912445
95,0,65,92722,0.883145532
111,0,85,124859,0.65577155
39,2,14,79047,1.035521272
31,0,60,118246,0.691508973
90,0,39,60512,1.350910398
36,2,36,75213,1.086663476
109,1,17,109583,0.745799622
53,0,104,93309,0.875784758
96,0,50,125199,0.652698823
73,0,41,108363,0.753658537
19,6,20,77590,1.052316793
79,0,68,86064,0.948622421
85,0,99,105598,0.77280422
40,0,98,120774,0.675360094
113,0,89,106510,0.764573373
67,2,35,105725,0.768377962
87,0,78,105745,0.767752423
49,0,75,119758,0.677779021
96,0,56,57828,1.402678633
27,0,29,81848,0.99101884
28,1,55,100558,0.806229241
89,0,26,70104,1.156431302
84,0,66,94599,0.856638865
97,0,67,112610,0.718858183
44,0,65,99061,0.81700528
44,0,76,82442,0.981291089
83,0,38,58995,1.370945673
37,0,51,113913,0.710000088
95,0,71,109398,0.738039452
19,0,67,64594,1.248345512
113,0,61,108008,0.746502852
69,0,44,56219,1.434023907
55,0,120,101087,0.797076083
42,0,101,94342,0.853658074
44,0,34,58541,1.375456688
91,0,70,116485,0.689642615
59,0,34,90814,0.883529412
22,1,31,100130,0.801290323
26,2,44,102276,0.784301009
46,0,43,60630,1.322550717
51,1,62,104969,0.762393469
72,0,35,57698,1.386811155
76,0,51,92818,0.861574479
24,0,59,118571,0.673916894
30,0,54,64470,1.238703118
26,0,55,84601,0.942580466
28,2,34,84892,0.938940654
62,0,58,107038,0.744657411
89,0,83,95665,0.832975069
100,0,39,64329,1.238633431
108,0,65,102141,0.779959566
67,0,44,83527,0.953680726
90,0,64,124573,0.639421062
25,2,50,64381,1.237046489
34,2,27,55673,1.42926697
111,0,40,77198,1.030612192
105,0,72,107745,0.738133649
82,1,47,57158,1.391171839
101,0,70,112030,0.709738017
38,3,51,107440,0.739495067
95,0,52,98327,0.807594964
21,0,57,99434,0.798412817
104,0,56,87321,0.908338086
52,0,32,60308,1.3146624
99,0,65,94255,0.841129807
53,1,16,127164,0.623378315
46,0,81,110402,0.717648956
73,3,44,104867,0.755509741
38,0,96,107452,0.737285951
14,2,37,77098,1.025352668
37,0,63,108377,0.729203429
53,0,81,116556,0.677642764
52,0,82,127934,0.617297044
85,0,38,62200,1.269493087
98,1,25,63767,1.238245644
60,2,50,58964,1.338983448
60,0,66,95599,0.825197125
68,0,75,96092,0.820139033
36,0,70,119084,0.661306893
73,0,93,67658,1.163014573
81,0,97,98027,0.801951809
42,0,72,100623,0.780282142
49,0,65,105089,0.746562628
103,2,45,57094,1.373917224
71,0,27,53927,1.453638993
61,0,81,99333,0.789152044
37,0,74,123708,0.633542051
104,0,81,96407,0.812844814
21,2,43,87048,0.900012981
43,2,13,74307,1.054007025
51,0,68,87657,0.893445703
33,0,51,105499,0.742125613
56,1,65,94928,0.824223306
82,0,61,95828,0.816480465
104,0,34,54155,1.441951251
104,0,106,73656,1.059797165
52,0,68,117406,0.664639116
37,0,69,59262,1.315850461
24,0,31,54938,1.418710546
48,0,85,123956,0.628632821
114,0,85,115698,0.673153382
21,0,44,122665,0.634257612
110,0,82,84793,0.917503332
22,0,78,92800,0.837629526
46,9,35,98033,0.792854447
41,0,64,113219,0.686384706
48,0,49,106738,0.727940377
26,4,9,110088,0.705555556
97,3,44,128750,0.603258718
78,0,86,119842,0.647968909
96,0,45,101385,0.765687133
95,1,78,113329,0.684981426
35,0,59,108263,0.71581593
80,0,98,99128,0.781575034
27,0,87,104670,0.739837298
93,1,25,118355,0.654261755
38,0,48,88016,0.879216392
29,0,53,59280,1.304834683
113,0,31,82721,0.934580215
88,0,61,102513,0.754131281
47,0,54,87327,0.885256908
79,0,68,83233,0.928783415
49,0,80,110571,0.698741804
82,0,70,91869,0.839639269
44,0,61,71334,1.081109008
101,0,59,96238,0.801115464
25,0,71,108053,0.713502263
18,2,9,75093,1.026311241
48,1,43,63261,1.218127915
86,0,65,81718,0.942705034
98,0,118,113715,0.677334828
43,0,31,57054,1.348767483
38,1,13,123460,0.623107079
92,0,105,100538,0.764620343
93,3,54,97929,0.784982998
56,0,39,53274,1.441390547
67,0,67,83561,0.918858199
97,0,43,93927,0.81727746
75,0,78,91540,0.838375901
107,0,77,119849,0.640188153
52,0,33,60387,1.270434862
86,0,67,107438,0.71315326
65,0,34,52371,1.462471215
50,2,40,104027,0.735624021
49,1,47,57546,1.329559135
93,0,49,98276,0.778446009
104,0,39,106909,0.71552526
50,0,47,102319,0.747021277
66,0,72,97247,0.785089206
72,3,30,55190,1.382804856
42,4,21,54220,1.407333272
72,0,62,88473,0.862353147
40,0,31,95165,0.801548679
36,0,85,115578,0.659933551
46,12,18,70739,1.077664372
97,0,41,56029,1.358675507
48,2,12,112511,0.676484166
78,0,88,99522,0.764474086
53,0,43,103564,0.734484473
38,0,53,84028,0.904737825
32,0,56,65103,1.167142221
106,1,80,114222,0.664970058
75,0,42,53030,1.431651895
27,0,79,103403,0.7339671
24,3,30,85368,0.888219942
111,0,30,55918,1.355861619
86,0,38,100035,0.757393112
67,0,49,100244,0.755588065
22,0,122,91128,0.83108397
108,0,60,99311,0.762068552
84,0,86,96033,0.787367051
63,1,6,73392,1.03
24,7,6,73392,1.03
109,0,59,105575,0.715865404
72,0,68,85336,0.885546077
97,0,62,87492,0.863288072
45,2,38,57596,1.30967272
54,0,104,99462,0.757270716
36,0,45,113659,0.662631116
93,0,59,104352,0.721700494
50,0,57,95289,0.789974289
85,1,58,103107,0.729874305
99,0,78,109710,0.685185398
13,0,38,55596,1.351954277
46,0,31,55642,1.3507072
22,0,91,114600,0.655811606
20,0,82,118887,0.631932339
65,3,34,66320,1.132759349
113,0,54,98038,0.766080091
82,1,51,80432,0.933638602
97,0,62,91853,0.817490664
61,0,101,86102,0.871194513
27,0,98,90418,0.82935577
28,0,67,99772,0.751497414
78,0,58,82250,0.911499088
104,0,45,72849,1.028986397
69,0,45,77987,0.960536115
52,0,55,83780,0.893266651
85,1,38,113467,0.659311165
45,0,53,85130,0.878743334
39,1,39,57001,1.311457343
102,0,51,92227,0.810541273
17,0,11,81937,0.912206573
97,2,31,52216,1.431188333
21,0,51,93929,0.795260889
84,0,67,95559,0.78088584
97,2,65,95518,0.780413325
31,0,22,54730,1.361512333
64,0,64,101534,0.733608939
93,0,70,117261,0.635178874
90,0,73,97885,0.760670276
48,0,55,91097,0.816942819
56,1,59,88730,0.837943649
56,0,63,84128,0.88377199
107,0,113,109075,0.681333761
93,0,72,60674,1.224716518
98,0,122,87871,0.844693244
90,0,79,98039,0.756928263
22,0,78,81033,0.91528402
83,0,45,97205,0.762874749
29,0,78,100891,0.734954258
30,1,75,78024,0.950140982
97,0,72,103478,0.715944549
89,6,45,80074,0.925069436
83,3,47,105448,0.702358414
50,0,61,57474,1.288559697
27,2,10,111277,0.665374696
94,0,32,79748,0.928148418
73,0,57,92596,0.799295542
49,2,58,51359,1.441034872
95,0,34,99007,0.746978698
79,0,45,108968,0.678618494
93,0,66,99380,0.743689072
69,0,52,54902,1.346142581
109,0,103,126385,0.584587649
104,2,61,82229,0.897384621
16,0,32,68796,1.071943718
21,0,92,81252,0.907426648
60,0,58,94789,0.777775797
106,0,80,100890,0.73022133
101,0,46,82198,0.895138446
34,0,85,96524,0.762113878
17,1,15,87979,0.835734664
63,0,55,53082,1.38513677
111,0,70,90676,0.810777824
51,0,84,88600,0.828726975
100,0,85,94910,0.773356654
62,0,51,103334,0.710294095
89,0,66,87096,0.842461652
31,1,13,75939,0.965910007
50,0,85,87222,0.840588842
109,0,83,84586,0.866116497
94,0,89,76929,0.952323571
44,0,85,88084,0.829060102
78,0,53,100834,0.724125295
30,0,92,93608,0.779446094
57,0,54,73594,0.991353507
39,0,78,92961,0.784661847
96,0,45,94176,0.77380288
53,0,57,96770,0.752291723
48,0,44,94505,0.770116925
